layer,atom,unrelated_atom,control,selection_mean_abs_target_contribution,prompt_id,suite,text,logit_rel,logit_rel_percent,logit_max_abs,logit_cosine,kl_base_to_patch,js_divergence,top1_same,base_top1_id,base_top1_token,patched_top1_id,patched_top1_token,topk_overlap,target_id,target_token,base_target_logit,patched_target_logit,target_logit_delta,base_target_prob,patched_target_prob,target_prob_delta
0,1375,4761,real,0.011692123487591743,0,continuation,"In a democratic system, citizens usually",0.0022716817911714315,0.22716817911714315,0.03125,0.9999904632568359,1.4943552741897292e-05,3.858680997836927e-06,True,614, have,614, have,1.0,614, have,21.640625,21.640625,0.0,0.30539563298225403,0.3057292103767395,0.00033357739448547363
0,1375,4761,real,0.011692123487591743,1,math,2 to the power of 8 is,0.12738251686096191,12.738251686096191,2.1552734375,0.9919618368148804,0.11618879437446594,0.027568398974835873,True,220, ,220, ,0.8,220, ,19.21875,19.203125,-0.015625,0.42804810404777527,0.447204053401947,0.019155949354171753
0,1375,4761,real,0.011692123487591743,2,factual,The nearest star to Earth is,0.08553320914506912,8.553320914506912,2.8671875,0.9963284730911255,0.16591890156269073,0.042410897091031075,True,1304, __,1304, __,1.0,1304, __,13.9921875,13.5234375,-0.46875,0.18564634025096893,0.14629943668842316,-0.039346903562545776
0,1375,4761,real,0.011692123487591743,3,capital,The capital of Canada is,0.08540225774049759,8.540225774049759,2.296875,0.9963558316230774,0.12535396218299866,0.03306050784885883,False,7407, located,32166, Ottawa,0.6,7407, located,15.5078125,14.8515625,-0.65625,0.11912614852190018,0.059234097599983215,-0.05989205092191696
0,1375,4761,real,0.011692123487591743,4,code,"def add(a, b):
    return",0.00553871737793088,0.553871737793088,0.08203125,0.9999788999557495,1.0526222467888147e-05,2.7443330736787175e-06,True,264, a,264, a,1.0,264, a,23.90625,23.859375,-0.046875,0.9667164087295532,0.9659369587898254,-0.0007794499397277832
0,1375,4761,real,0.011692123487591743,5,code,"items = [1, 2, 3]
length = len(",0.002285999245941639,0.2285999245941639,0.037109375,0.9999904036521912,2.1159472453291528e-05,5.171048314878135e-06,True,16,1,16,1,1.0,16,1,18.46875,18.46875,0.0,0.39086613059043884,0.39074862003326416,-0.00011751055717468262
0,1375,4761,real,0.011692123487591743,6,capital,The capital of France is,0.15243728458881378,15.243728458881378,3.16259765625,0.9897934198379517,0.185495063662529,0.046003686264157295,True,12095, Paris,12095, Paris,0.6,12095, Paris,17.234375,16.421875,-0.8125,0.30551648139953613,0.32752007246017456,0.022003591060638428
0,1375,4761,real,0.011692123487591743,7,continuation,The customer opened the package and found,0.0016849096864461899,0.168490968644619,0.021484375,0.9999942779541016,2.208917067036964e-06,7.413604805606155e-07,True,429, that,429, that,1.0,429, that,17.578125,17.578125,0.0,0.25919830799102783,0.25917863845825195,-1.9669532775878906e-05
0,1375,4761,real,0.011692123487591743,8,continuation,"To solve the problem step by step, first",0.005875636823475361,0.5875636823475361,0.0634765625,0.99997878074646,7.426052616210654e-05,1.866571528807981e-05,True,8253, determine,8253, determine,1.0,8253, determine,18.46875,18.484375,0.015625,0.1353265345096588,0.13605372607707977,0.0007271915674209595
0,1375,4761,real,0.011692123487591743,9,capital,The capital of Italy is,0.19178888201713562,19.178888201713562,4.19677734375,0.9814655184745789,0.3966849148273468,0.09194699674844742,True,7407, located,7407, located,0.4,7407, located,16.1875,15.8359375,-0.3515625,0.20208659768104553,0.30879098176956177,0.10670438408851624
0,1375,4761,real,0.011692123487591743,10,math,"If a rectangle has sides 4 and 6, its area is",0.10834848135709763,10.834848135709763,2.21337890625,0.9941115379333496,0.0722232535481453,0.01726114097982645,True,220, ,220, ,0.4,220, ,18.453125,18.3125,-0.140625,0.2919444739818573,0.28704026341438293,-0.004904210567474365
0,1375,4761,real,0.011692123487591743,11,factual,The chemical symbol for oxygen is,0.0890607088804245,8.90607088804245,1.62109375,0.9967864751815796,0.024640334770083427,0.006173060275614262,True,30743, ____,30743, ____,1.0,30743, ____,19.046875,19.0,-0.046875,0.31270965933799744,0.32178154587745667,0.009071886539459229
0,1375,4761,real,0.011692123487591743,12,factual,The largest planet in the Solar System is,0.22883263230323792,22.88326323032379,5.3505859375,0.9865570068359375,0.6614221930503845,0.1261063665151596,True,49689, Jupiter,49689, Jupiter,0.4,49689, Jupiter,15.0,15.8828125,0.8828125,0.09838929027318954,0.3201705813407898,0.22178128361701965
0,1375,4761,real,0.011692123487591743,13,ukrainian,Протилежне до слова гарячий —,0.0007260135607793927,0.07260135607793927,0.02734375,0.999994158744812,8.666286703373771e-06,2.4631143560327473e-06,True,67879, это,67879, это,1.0,67879, это,6.53125,6.53515625,0.00390625,0.08992964774370193,0.09000774472951889,7.809698581695557e-05
0,1375,4761,real,0.011692123487591743,14,russian,Вода замерзает при температуре,0.0007880079792812467,0.07880079792812467,0.03125,1.0000020265579224,1.845485530793667e-05,4.807243385585025e-06,True,220, ,220, ,1.0,220, ,9.859375,9.8515625,-0.0078125,0.26714596152305603,0.26563334465026855,-0.0015126168727874756
0,1375,4761,real,0.011692123487591743,15,factual,The process by which plants use light is called,0.0014145190361887217,0.14145190361887217,0.03515625,0.9999991655349731,1.251009598490782e-05,3.1931916737448773e-06,True,7249, photos,7249, photos,1.0,7249, photos,19.09375,19.09375,0.0,0.566943883895874,0.5664180517196655,-0.0005258321762084961
0,1375,4761,real,0.011692123487591743,16,continuation,The scientist examined the data and concluded that,0.0014896487118676305,0.14896487118676305,0.025390625,1.000001311302185,2.8197835035825847e-06,9.262227536055434e-07,True,279, the,279, the,1.0,279, the,16.453125,16.453125,0.0,0.4974929690361023,0.4977576434612274,0.00026467442512512207
0,1375,4761,real,0.011692123487591743,17,ukrainian,Вода замерзає за температури,0.0013711318606510758,0.13711318606510758,0.046875,0.9999891519546509,5.7603167078923434e-05,1.368132416246226e-05,True,11916,ю,11916,ю,1.0,11916,ю,10.0859375,10.1171875,0.03125,0.1448928415775299,0.14774611592292786,0.0028532743453979492
0,1375,4761,real,0.011692123487591743,18,continuation,"Once upon a time, in a small village,",0.0018168508540838957,0.18168508540838957,0.037109375,0.9999872446060181,3.878109964716714e-06,7.324710225020681e-07,True,1052, there,1052, there,1.0,1052, there,17.921875,17.921875,0.0,0.6780264973640442,0.6780390739440918,1.2576580047607422e-05
